County,FirstDose,SeriesComplete,Reportasof
Otsego,22014,14621,4/8/2021
Putnam,39090,25479,4/8/2021
Queens,776876,485895,4/8/2021
Rensselaer,59613,41081,4/8/2021
Richmond,158483,103220,4/8/2021
Rockland,107603,70601,4/8/2021
Saratoga,96920,67260,4/8/2021
Schenectady,66295,46295,4/8/2021
Schoharie,9539,5992,4/8/2021
Schuyler,6500,4807,4/8/2021
Seneca,11006,7455,4/8/2021
St. Lawrence,41477,32005,4/8/2021
Steuben,28015,16998,4/8/2021
Suffolk,521314,312965,4/8/2021
Sullivan,22913,14848,4/8/2021
Tioga,13147,9077,4/8/2021
Tompkins,46502,27204,4/8/2021
Ulster,73651,46747,4/8/2021
Warren,27358,20683,4/8/2021
Washington,18498,13629,4/8/2021
Wayne,31655,22405,4/8/2021
Westchester,388563,255028,4/8/2021
Wyoming,11880,7388,4/8/2021
Yates,8755,6366,4/8/2021
Albany,129082,90507,4/9/2021
Allegany,12489,8666,4/9/2021
Bronx,319361,201813,4/9/2021
Broome,73602,53189,4/9/2021
Cattaraugus,23159,15970,4/9/2021
Cayuga,27478,19655,4/9/2021
Chautauqua,45459,28586,4/9/2021
Chemung,27032,18916,4/9/2021
Chenango,16066,10524,4/9/2021
Clinton,36544,27333,4/9/2021
Columbia,23963,16149,4/9/2021
Cortland,16916,10756,4/9/2021
Delaware,13431,8560,4/9/2021
Dutchess,113565,69067,4/9/2021
Erie,356481,237091,4/9/2021
Essex,16634,12504,4/9/2021
Franklin,19322,14699,4/9/2021
Fulton,14875,10798,4/9/2021
Genesee,19451,13126,4/9/2021
Greene,17003,10389,4/9/2021
Hamilton,2528,1972,4/9/2021
Herkimer,19980,15247,4/9/2021
Jefferson,34783,26670,4/9/2021
Kings,722962,443286,4/9/2021
Lewis,8243,6004,4/9/2021
Livingston,21174,14338,4/9/2021
Madison,29033,20758,4/9/2021
Monroe,294376,204802,4/9/2021
Montgomery,17861,12996,4/9/2021
Nassau,584795,393318,4/9/2021
New York,702210,449728,4/9/2021
Niagara,73892,48449,4/9/2021
Oneida,82471,61946,4/9/2021
Onondaga,189854,135470,4/9/2021
Ontario,48478,32206,4/9/2021
Orange,116039,70207,4/9/2021
Orleans,10695,7168,4/9/2021
Oswego,39314,28374,4/9/2021
Otsego,22456,15204,4/9/2021
Putnam,40035,26345,4/9/2021
Queens,797986,502553,4/9/2021
Rensselaer,61188,41996,4/9/2021
Richmond,162450,108361,4/9/2021
Rockland,109641,73200,4/9/2021
Saratoga,98868,69124,4/9/2021
Schenectady,68229,47355,4/9/2021
Schoharie,9695,6139,4/9/2021
Schuyler,6545,4875,4/9/2021
Seneca,11327,7855,4/9/2021
St. Lawrence,42040,32555,4/9/2021
Steuben,28539,17751,4/9/2021
Suffolk,531224,324225,4/9/2021
Sullivan,23625,15501,4/9/2021
Tioga,13432,9330,4/9/2021
Tompkins,49389,28010,4/9/2021
Ulster,78324,49700,4/9/2021
Warren,27747,21169,4/9/2021
Washington,18814,13939,4/9/2021
Wayne,32107,23223,4/9/2021
Westchester,397512,264010,4/9/2021
Wyoming,12010,7581,4/9/2021
Yates,8862,6449,4/9/2021
Albany,130624,92208,4/10/2021
Allegany,12665,8873,4/10/2021
Bronx,326120,207488,4/10/2021
Broome,74484,54019,4/10/2021
Cattaraugus,23329,16180,4/10/2021
Cayuga,28081,20324,4/10/2021
Chautauqua,45830,29222,4/10/2021
Chemung,27154,19530,4/10/2021
Chenango,16167,10634,4/10/2021
Clinton,36857,27577,4/10/2021
Columbia,24476,16358,4/10/2021
Cortland,17007,11011,4/10/2021
Delaware,13580,8780,4/10/2021
Dutchess,115254,70826,4/10/2021
Erie,362802,245515,4/10/2021
Essex,16717,12587,4/10/2021
Franklin,19438,14822,4/10/2021
Fulton,14978,10890,4/10/2021
Genesee,19607,13343,4/10/2021
Greene,17196,10572,4/10/2021
Hamilton,2532,1984,4/10/2021
Herkimer,20233,15350,4/10/2021
Jefferson,34978,26811,4/10/2021
Kings,740657,454989,4/10/2021
Lewis,8270,6026,4/10/2021
Livingston,21380,14610,4/10/2021
Madison,29294,21146,4/10/2021
Monroe,299644,210716,4/10/2021
Montgomery,17996,13133,4/10/2021
Nassau,592905,401477,4/10/2021
New York,716600,461249,4/10/2021
Niagara,75054,49992,4/10/2021
Oneida,83565,62575,4/10/2021
Onondaga,191968,137858,4/10/2021
Ontario,49019,33062,4/10/2021
Orange,117209,71557,4/10/2021
Orleans,10805,7319,4/10/2021
Oswego,40056,29538,4/10/2021
Otsego,22635,15662,4/10/2021
Putnam,40539,26857,4/10/2021
Queens,815766,516767,4/10/2021
Rensselaer,62032,43043,4/10/2021
Richmond,164611,111057,4/10/2021
Rockland,110667,74175,4/10/2021
Saratoga,100182,70740,4/10/2021
Schenectady,68915,48204,4/10/2021
Schoharie,9809,6240,4/10/2021
Schuyler,6603,4938,4/10/2021
Seneca,11431,7973,4/10/2021
St. Lawrence,42371,32919,4/10/2021
Steuben,28737,18346,4/10/2021
Suffolk,537889,331866,4/10/2021
Sullivan,23921,15752,4/10/2021
Tioga,13726,9669,4/10/2021
Tompkins,50044,28813,4/10/2021
Ulster,78782,50261,4/10/2021
Warren,28072,21600,4/10/2021
Washington,19154,14326,4/10/2021
Wayne,32656,23910,4/10/2021
Westchester,403741,270658,4/10/2021
Wyoming,12100,7691,4/10/2021
Yates,8896,6586,4/10/2021
Albany,132299,94061,4/11/2021
Allegany,12705,8930,4/11/2021
Bronx,329934,211022,4/11/2021
Broome,75295,54990,4/11/2021
Cattaraugus,23436,16304,4/11/2021
Cayuga,28388,20600,4/11/2021
Chautauqua,46136,29781,4/11/2021
Chemung,27263,19716,4/11/2021
Chenango,16546,11448,4/11/2021
Clinton,37102,27792,4/11/2021
Columbia,24685,16538,4/11/2021
Cortland,17103,11142,4/11/2021
Delaware,13743,9038,4/11/2021
Dutchess,116832,71849,4/11/2021
Erie,367178,250851,4/11/2021
Essex,16820,12724,4/11/2021
Franklin,19483,14898,4/11/2021
Fulton,15080,11011,4/11/2021
Genesee,19753,13487,4/11/2021
Greene,17323,11037,4/11/2021
Hamilton,2534,1985,4/11/2021
Herkimer,20401,15526,4/11/2021
Jefferson,35165,26931,4/11/2021
Kings,756374,464987,4/11/2021
Lewis,8280,6047,4/11/2021
Livingston,21523,14757,4/11/2021
Madison,29468,21371,4/11/2021
Monroe,302607,214189,4/11/2021
Montgomery,18160,13605,4/11/2021
Nassau,599553,408150,4/11/2021
New York,728126,471502,4/11/2021
Niagara,76063,50908,4/11/2021
Oneida,84459,63586,4/11/2021
Onondaga,193841,139805,4/11/2021
Ontario,49319,33481,4/11/2021
Orange,118220,72984,4/11/2021
Orleans,10870,7386,4/11/2021
Oswego,40362,29874,4/11/2021
Otsego,22863,16158,4/11/2021
Putnam,41077,27148,4/11/2021
Queens,831997,529045,4/11/2021
Rensselaer,62678,43859,4/11/2021
Richmond,166706,113643,4/11/2021
Rockland,111537,75065,4/11/2021
Saratoga,101344,71884,4/11/2021
Schenectady,69660,49125,4/11/2021
Schoharie,9936,6867,4/11/2021
Schuyler,6635,4971,4/11/2021
Seneca,11490,8052,4/11/2021
St. Lawrence,42599,33197,4/11/2021
Steuben,28890,18616,4/11/2021
Suffolk,543576,337903,4/11/2021
Sullivan,24023,15920,4/11/2021
Tioga,13827,9793,4/11/2021
Tompkins,50689,29478,4/11/2021
Ulster,79744,50932,4/11/2021
Warren,28315,21871,4/11/2021
Washington,19378,14515,4/11/2021
Wayne,32891,24178,4/11/2021
Westchester,408069,275206,4/11/2021
Wyoming,12156,7761,4/11/2021
Yates,8918,6671,4/11/2021
Albany,134339,95846,4/12/2021
Allegany,12761,9045,4/12/2021
Bronx,336574,216084,4/12/2021
Broome,76213,56469,4/12/2021
Cattaraugus,23634,16463,4/12/2021
Cayuga,28679,21093,4/12/2021
Chautauqua,46337,30201,4/12/2021
Chemung,28155,21049,4/12/2021
Chenango,16643,11691,4/12/2021
Clinton,37523,28261,4/12/2021
Columbia,24961,16817,4/12/2021
Cortland,17272,11368,4/12/2021
Delaware,13980,9321,4/12/2021
Dutchess,118970,73805,4/12/2021
Erie,372786,256134,4/12/2021
Essex,16947,12926,4/12/2021
Franklin,19629,15308,4/12/2021
Fulton,15292,11203,4/12/2021
Genesee,20093,13758,4/12/2021
Greene,17751,11216,4/12/2021
Hamilton,2540,1994,4/12/2021
Herkimer,20541,15918,4/12/2021
Jefferson,35454,27575,4/12/2021
Kings,773703,476744,4/12/2021
Lewis,8451,6153,4/12/2021
Livingston,21825,15001,4/12/2021
Madison,29782,21917,4/12/2021
Monroe,306881,218712,4/12/2021
Montgomery,18308,13817,4/12/2021
Nassau,607813,417596,4/12/2021
New York,742180,481533,4/12/2021
Niagara,77302,51938,4/12/2021
Oneida,85150,65427,4/12/2021
Onondaga,197838,143100,4/12/2021
Ontario,49939,34029,4/12/2021
Orange,119938,75127,4/12/2021
Orleans,11396,7525,4/12/2021
Oswego,41014,30751,4/12/2021
Otsego,23100,16598,4/12/2021
Putnam,41686,27755,4/12/2021
Queens,850722,540909,4/12/2021
Rensselaer,63531,44614,4/12/2021
Richmond,169067,115383,4/12/2021
Rockland,113267,77051,4/12/2021
Saratoga,103200,73932,4/12/2021
Schenectady,70935,50174,4/12/2021
Schoharie,10048,7019,4/12/2021
Schuyler,6737,5125,4/12/2021
Seneca,11582,8189,4/12/2021
St. Lawrence,42861,33816,4/12/2021
Steuben,29470,19543,4/12/2021
Suffolk,552460,347430,4/12/2021
Sullivan,24325,16309,4/12/2021
Tioga,14017,10177,4/12/2021
Tompkins,51177,30262,4/12/2021
Ulster,81438,52801,4/12/2021
Warren,28634,22254,4/12/2021
Washington,19702,14858,4/12/2021
Wayne,33478,24799,4/12/2021
Westchester,414893,282632,4/12/2021
Wyoming,12350,7937,4/12/2021
Yates,8986,6742,4/12/2021
Albany,135797,97409,4/13/2021
Allegany,12796,9116,4/13/2021
Bronx,341950,220078,4/13/2021
Broome,76872,57111,4/13/2021
Cattaraugus,23724,16653,4/13/2021
Cayuga,28894,21401,4/13/2021
Chautauqua,46731,30751,4/13/2021
Chemung,28299,21475,4/13/2021
Chenango,16721,11829,4/13/2021
Clinton,37807,28709,4/13/2021
Columbia,25205,17083,4/13/2021
Cortland,17362,11505,4/13/2021
Delaware,14102,9526,4/13/2021
Dutchess,121326,74946,4/13/2021
Erie,378209,260974,4/13/2021
Essex,17085,13077,4/13/2021
Franklin,19690,15526,4/13/2021
Fulton,15462,11319,4/13/2021
Genesee,20265,13908,4/13/2021
Greene,17853,11566,4/13/2021
Hamilton,2545,2000,4/13/2021
Herkimer,20677,16108,4/13/2021
Jefferson,35674,28319,4/13/2021
Kings,788229,484631,4/13/2021
Lewis,8478,6241,4/13/2021
Livingston,22164,15233,4/13/2021
Madison,30063,22309,4/13/2021
Monroe,311259,223260,4/13/2021
Montgomery,18591,13926,4/13/2021
Nassau,614393,425206,4/13/2021
New York,754452,488530,4/13/2021
Niagara,78259,52900,4/13/2021
Oneida,85905,66051,4/13/2021
Onondaga,201660,145742,4/13/2021
Ontario,50395,34513,4/13/2021
Orange,121554,77926,4/13/2021
Orleans,11462,7880,4/13/2021
Oswego,41518,31293,4/13/2021
Otsego,23331,17166,4/13/2021
Putnam,42603,28237,4/13/2021
Queens,865328,548812,4/13/2021
Rensselaer,64394,45473,4/13/2021
Richmond,171473,116716,4/13/2021
Rockland,114433,78319,4/13/2021
Saratoga,104206,75366,4/13/2021
Schenectady,71739,51142,4/13/2021
Schoharie,10283,7124,4/13/2021
Schuyler,6781,5185,4/13/2021
Seneca,11652,8288,4/13/2021
St. Lawrence,43127,34284,4/13/2021
Steuben,29735,20025,4/13/2021
Suffolk,558861,355265,4/13/2021
Sullivan,24600,16549,4/13/2021
Tioga,14120,10327,4/13/2021
Tompkins,51632,31771,4/13/2021
Ulster,82094,53535,4/13/2021
Warren,28897,22654,4/13/2021
Washington,19874,15084,4/13/2021
Wayne,33796,25547,4/13/2021
Westchester,420805,287561,4/13/2021
Wyoming,12449,8064,4/13/2021
Yates,9029,6774,4/13/2021
Albany,138065,98350,4/14/2021
Allegany,12868,9249,4/14/2021
Bronx,347365,224900,4/14/2021
Broome,77456,58209,4/14/2021
Cattaraugus,23843,17383,4/14/2021
Cayuga,29064,21960,4/14/2021
Chautauqua,47026,32755,4/14/2021
Chemung,28458,21750,4/14/2021
Chenango,16893,12061,4/14/2021
Clinton,38116,29029,4/14/2021
Columbia,25481,17273,4/14/2021
Cortland,17436,11834,4/14/2021
Delaware,14244,9749,4/14/2021
Dutchess,122465,76734,4/14/2021
Erie,382657,266535,4/14/2021
Essex,17155,13336,4/14/2021
Franklin,19744,15753,4/14/2021
Fulton,15653,11924,4/14/2021
Genesee,20757,14070,4/14/2021
Greene,18095,11706,4/14/2021
Hamilton,2563,2048,4/14/2021
Herkimer,20808,16358,4/14/2021
Jefferson,35986,28657,4/14/2021
Kings,801747,493066,4/14/2021
Lewis,8492,6322,4/14/2021
Livingston,22358,15812,4/14/2021
Madison,30401,22674,4/14/2021
Monroe,315171,227977,4/14/2021
Montgomery,18764,14181,4/14/2021
Nassau,620423,432953,4/14/2021
New York,765240,496723,4/14/2021
Niagara,79186,55260,4/14/2021
Oneida,86546,66589,4/14/2021
Onondaga,204371,148670,4/14/2021
Ontario,50776,36110,4/14/2021
Orange,122851,81707,4/14/2021
Orleans,11557,8004,4/14/2021
Oswego,41713,31692,4/14/2021
Otsego,23648,17567,4/14/2021
Putnam,43008,28705,4/14/2021
Queens,880769,558102,4/14/2021
Rensselaer,65566,45999,4/14/2021
Richmond,173329,117999,4/14/2021
Rockland,115804,79567,4/14/2021
Saratoga,105255,76937,4/14/2021
Schenectady,72915,51714,4/14/2021
Schoharie,10372,7251,4/14/2021
Schuyler,6882,5243,4/14/2021
Seneca,11688,8863,4/14/2021
St. Lawrence,43264,34615,4/14/2021
Steuben,29997,20894,4/14/2021
Suffolk,565827,363235,4/14/2021
Sullivan,25045,16853,4/14/2021
Tioga,14222,10513,4/14/2021
Tompkins,51977,33245,4/14/2021
Ulster,83077,54697,4/14/2021
Warren,29230,23140,4/14/2021
Washington,20031,15337,4/14/2021
Wayne,33984,25930,4/14/2021
Westchester,426372,292819,4/14/2021
Wyoming,12555,8544,4/14/2021
Yates,9073,7120,4/14/2021
Albany,139683,100237,4/15/2021
Allegany,13053,9611,4/15/2021
Bronx,353381,230784,4/15/2021
Broome,78222,58983,4/15/2021
Cattaraugus,24210,17891,4/15/2021
Cayuga,29291,22200,4/15/2021
Chautauqua,47337,33240,4/15/2021
Chemung,28567,22419,4/15/2021
Chenango,17054,12160,4/15/2021
Clinton,38330,29318,4/15/2021
Columbia,25747,17782,4/15/2021
Cortland,17530,11968,4/15/2021
Delaware,14382,9925,4/15/2021
Dutchess,123847,79508,4/15/2021
Erie,387774,271284,4/15/2021
Essex,17237,13732,4/15/2021
Franklin,19811,16111,4/15/2021
Fulton,15914,12196,4/15/2021
Genesee,20905,14247,4/15/2021
Greene,18358,11833,4/15/2021
Hamilton,2566,2157,4/15/2021
Herkimer,20960,16495,4/15/2021
Jefferson,36357,29333,4/15/2021
Kings,816863,503872,4/15/2021
Lewis,8515,6526,4/15/2021
Livingston,22449,16310,4/15/2021
Madison,30697,23040,4/15/2021
Monroe,318233,230463,4/15/2021
Montgomery,18971,14419,4/15/2021
Nassau,626604,440820,4/15/2021
New York,776394,505710,4/15/2021
Niagara,80708,56372,4/15/2021
Oneida,87241,67702,4/15/2021
Onondaga,207353,151710,4/15/2021
Ontario,51209,37524,4/15/2021
Orange,124627,83432,4/15/2021
Orleans,11813,8357,4/15/2021
Oswego,42035,31947,4/15/2021
Otsego,23859,17919,4/15/2021
Putnam,43811,29670,4/15/2021
Queens,897034,570237,4/15/2021
Rensselaer,66705,47100,4/15/2021
Richmond,176084,120086,4/15/2021
Rockland,117271,80607,4/15/2021
Saratoga,106943,78046,4/15/2021
Schenectady,73826,52415,4/15/2021
Schoharie,10466,7650,4/15/2021
Schuyler,6923,5454,4/15/2021
Seneca,11867,8943,4/15/2021
St. Lawrence,43469,34965,4/15/2021
Steuben,30185,21992,4/15/2021
Suffolk,571830,372782,4/15/2021
Sullivan,25246,17535,4/15/2021
Tioga,14321,10914,4/15/2021
Tompkins,52269,34235,4/15/2021
Ulster,83711,55572,4/15/2021
Warren,29431,23599,4/15/2021
Washington,20195,15597,4/15/2021
Wayne,34223,26833,4/15/2021
Westchester,432239,297471,4/15/2021
Wyoming,12709,8725,4/15/2021
Yates,9198,7283,4/15/2021
Albany,141106,101579,4/16/2021
Allegany,13184,10069,4/16/2021
Bronx,359455,236824,4/16/2021
Broome,79060,59783,4/16/2021
Cattaraugus,24362,18460,4/16/2021
Cayuga,29640,22507,4/16/2021
Chautauqua,47917,33816,4/16/2021
Chemung,28666,22856,4/16/2021
Chenango,17343,12742,4/16/2021
Clinton,38534,29858,4/16/2021
Columbia,26124,18317,4/16/2021
Cortland,17674,12080,4/16/2021
Delaware,14565,10257,4/16/2021
Dutchess,125003,81535,4/16/2021
Erie,393061,277306,4/16/2021
Essex,17346,13940,4/16/2021
Franklin,19908,16278,4/16/2021
Fulton,16110,12427,4/16/2021
Genesee,21096,14684,4/16/2021
Greene,18504,12603,4/16/2021
Hamilton,2597,2265,4/16/2021
Herkimer,21247,16791,4/16/2021
Jefferson,36824,29504,4/16/2021
Kings,832371,515594,4/16/2021
Lewis,8552,6754,4/16/2021
Livingston,22736,16873,4/16/2021
Madison,31126,23677,4/16/2021
Monroe,323165,235526,4/16/2021
Montgomery,19262,14670,4/16/2021
Nassau,633956,448728,4/16/2021
New York,788513,515857,4/16/2021
Niagara,81802,57320,4/16/2021
Oneida,88795,68544,4/16/2021
Onondaga,209994,154004,4/16/2021
Ontario,51586,38360,4/16/2021
Orange,126652,85162,4/16/2021
Orleans,11988,8459,4/16/2021
Oswego,42823,32363,4/16/2021
Otsego,24135,18371,4/16/2021
Putnam,44272,30212,4/16/2021
Queens,914162,583737,4/16/2021
Rensselaer,67705,48416,4/16/2021
Richmond,178760,122224,4/16/2021
Rockland,118376,81685,4/16/2021
Saratoga,108289,79510,4/16/2021
Schenectady,74655,53361,4/16/2021
Schoharie,10601,7777,4/16/2021
Schuyler,6965,5551,4/16/2021
Seneca,11986,9176,4/16/2021
St. Lawrence,43725,35540,4/16/2021
Steuben,30419,22848,4/16/2021
Suffolk,578014,384171,4/16/2021
Sullivan,25579,18305,4/16/2021
Tioga,14553,11142,4/16/2021
Tompkins,53659,34741,4/16/2021
Ulster,84357,58375,4/16/2021
Warren,29778,24032,4/16/2021
Washington,20499,16081,4/16/2021
Wayne,34864,27274,4/16/2021
Westchester,438014,302857,4/16/2021
Wyoming,12917,9024,4/16/2021
Yates,9237,7332,4/16/2021
Albany,142465,103124,4/17/2021
Allegany,13225,10493,4/17/2021
Bronx,364136,241510,4/17/2021
Broome,79698,60403,4/17/2021
Cattaraugus,24503,18687,4/17/2021
Cayuga,29832,22662,4/17/2021
Chautauqua,48239,34174,4/17/2021
Chemung,28821,22977,4/17/2021
Chenango,17554,13141,4/17/2021
Clinton,38791,30112,4/17/2021
Columbia,26391,19038,4/17/2021
Cortland,17865,12475,4/17/2021
Delaware,14716,10872,4/17/2021
Dutchess,126059,82944,4/17/2021
Erie,398033,283003,4/17/2021
Essex,17442,14049,4/17/2021
Franklin,19960,16423,4/17/2021
Fulton,16362,12610,4/17/2021
Genesee,21282,14850,4/17/2021
Greene,18678,13040,4/17/2021
Hamilton,2602,2271,4/17/2021
Herkimer,21484,17040,4/17/2021
Jefferson,37035,29625,4/17/2021
Kings,846165,525255,4/17/2021
Lewis,8596,6788,4/17/2021
Livingston,22927,17226,4/17/2021
Madison,31569,24045,4/17/2021
Monroe,327778,240555,4/17/2021
Montgomery,19512,14800,4/17/2021
Nassau,641423,456222,4/17/2021
New York,797622,523810,4/17/2021
Niagara,82779,58328,4/17/2021
Oneida,89551,70615,4/17/2021
Onondaga,212088,156146,4/17/2021
Ontario,51927,38865,4/17/2021
Orange,128160,86362,4/17/2021
Orleans,12153,8579,4/17/2021
Oswego,43481,33397,4/17/2021
Otsego,24361,18722,4/17/2021
Putnam,44707,30562,4/17/2021
Queens,930825,595661,4/17/2021
Rensselaer,68450,49624,4/17/2021
Richmond,180819,125219,4/17/2021
Rockland,119309,82373,4/17/2021
Saratoga,109595,80755,4/17/2021
Schenectady,75486,54027,4/17/2021
Schoharie,10731,7887,4/17/2021
Schuyler,7015,5596,4/17/2021
Seneca,12083,9252,4/17/2021
St. Lawrence,43899,35816,4/17/2021
Steuben,30630,23327,4/17/2021
Suffolk,583948,390191,4/17/2021
Sullivan,25759,18998,4/17/2021
Tioga,14709,11332,4/17/2021
Tompkins,55016,35315,4/17/2021
Ulster,85520,59141,4/17/2021
Warren,30077,24323,4/17/2021
Washington,20843,16676,4/17/2021
Wayne,35316,27720,4/17/2021
Westchester,443059,307479,4/17/2021
Wyoming,13013,9171,4/17/2021
Yates,9266,7397,4/17/2021
Albany,143492,103902,4/18/2021
Allegany,13263,10750,4/18/2021
Bronx,367275,245009,4/18/2021
Broome,80091,60867,4/18/2021
Cattaraugus,24618,18831,4/18/2021
Cayuga,29948,22803,4/18/2021
Chautauqua,48414,34471,4/18/2021
Chemung,28883,23060,4/18/2021
Chenango,17622,13209,4/18/2021
Clinton,38896,30324,4/18/2021
Columbia,26504,19178,4/18/2021
Cortland,17950,13308,4/18/2021
Delaware,14788,11064,4/18/2021
Dutchess,126718,83662,4/18/2021
Erie,401863,285593,4/18/2021
Essex,17474,14115,4/18/2021
Franklin,19993,16515,4/18/2021
Fulton,16464,12683,4/18/2021
Genesee,21427,14915,4/18/2021
Greene,18725,13104,4/18/2021
Hamilton,2607,2276,4/18/2021
Herkimer,21575,17142,4/18/2021
Jefferson,37153,29713,4/18/2021
Kings,856209,532502,4/18/2021
Lewis,8603,6806,4/18/2021
Livingston,23003,17335,4/18/2021
Madison,31656,24179,4/18/2021
Monroe,329789,242695,4/18/2021
Montgomery,19617,14902,4/18/2021
Nassau,646922,460792,4/18/2021
New York,803494,529009,4/18/2021
Niagara,83787,58837,4/18/2021
Oneida,89983,71066,4/18/2021
Onondaga,213041,157215,4/18/2021
Ontario,52117,39097,4/18/2021
Orange,129214,87157,4/18/2021
Orleans,12195,8621,4/18/2021
Oswego,43657,33995,4/18/2021
Otsego,24503,18957,4/18/2021
Putnam,45065,30769,4/18/2021
Queens,942443,605227,4/18/2021
Rensselaer,68889,49944,4/18/2021
Richmond,182046,127461,4/18/2021
Rockland,120815,83539,4/18/2021
Saratoga,110289,81548,4/18/2021
Schenectady,76082,54560,4/18/2021
Schoharie,10795,7973,4/18/2021
Schuyler,7031,5618,4/18/2021
Seneca,12120,9285,4/18/2021
St. Lawrence,43972,36069,4/18/2021
Steuben,30771,23614,4/18/2021
Suffolk,588799,394867,4/18/2021
Sullivan,25875,19145,4/18/2021
Tioga,14775,11393,4/18/2021
Tompkins,55200,35732,4/18/2021
Ulster,85853,59785,4/18/2021
Warren,30255,24479,4/18/2021
Washington,21009,16793,4/18/2021
Wayne,35482,27911,4/18/2021
Westchester,446888,310489,4/18/2021
Wyoming,13077,9231,4/18/2021
Yates,9274,7416,4/18/2021
Albany,144592,105461,4/19/2021
Allegany,13296,10869,4/19/2021
Bronx,372861,250139,4/19/2021
Broome,80753,61507,4/19/2021
Cattaraugus,24711,18961,4/19/2021
Cayuga,30029,23074,4/19/2021
Chautauqua,48550,34704,4/19/2021
Chemung,29222,23727,4/19/2021
Chenango,17705,13358,4/19/2021
Clinton,39008,30659,4/19/2021
Columbia,26623,19308,4/19/2021
Cortland,18006,13405,4/19/2021
Delaware,14876,11266,4/19/2021
Dutchess,127639,84924,4/19/2021
Erie,405211,288962,4/19/2021
Essex,17508,14256,4/19/2021
Franklin,20026,16819,4/19/2021
Fulton,16552,12757,4/19/2021
Genesee,21512,15517,4/19/2021
Greene,18866,13222,4/19/2021
Hamilton,2609,2279,4/19/2021
Herkimer,21679,17454,4/19/2021
Jefferson,37259,30088,4/19/2021
Kings,868879,541154,4/19/2021
Lewis,8670,6851,4/19/2021
Livingston,23076,17497,4/19/2021
Madison,31838,24753,4/19/2021
Monroe,332080,244939,4/19/2021
Montgomery,19737,15023,4/19/2021
Nassau,652477,466761,4/19/2021
New York,811947,537755,4/19/2021
Niagara,84520,59444,4/19/2021
Oneida,90438,72533,4/19/2021
Onondaga,215561,159536,4/19/2021
Ontario,52294,39652,4/19/2021
Orange,130253,88270,4/19/2021
Orleans,12268,8742,4/19/2021
Oswego,43903,34598,4/19/2021
Otsego,24631,19319,4/19/2021
Putnam,45425,31279,4/19/2021
Queens,957711,615289,4/19/2021
Rensselaer,69405,50461,4/19/2021
Richmond,183752,129146,4/19/2021
Rockland,122225,85518,4/19/2021
Saratoga,111161,82788,4/19/2021
Schenectady,77203,55373,4/19/2021
Schoharie,10879,8125,4/19/2021
Schuyler,7058,5702,4/19/2021
Seneca,12140,9360,4/19/2021
St. Lawrence,44096,36527,4/19/2021
Steuben,30947,23925,4/19/2021
Suffolk,599882,404144,4/19/2021
Sullivan,25998,19472,4/19/2021
Tioga,14859,11525,4/19/2021
Tompkins,55379,36128,4/19/2021
Ulster,86872,60667,4/19/2021
Warren,30460,24745,4/19/2021
Washington,21171,16979,4/19/2021
Wayne,35648,28122,4/19/2021
Westchester,451432,315009,4/19/2021
Wyoming,13141,9329,4/19/2021
Yates,9288,7448,4/19/2021
Albany,145828,106309,4/20/2021
Allegany,13341,11086,4/20/2021
Bronx,378188,254312,4/20/2021
Broome,81386,62253,4/20/2021
Cattaraugus,24825,19163,4/20/2021
Cayuga,30138,23378,4/20/2021
Chautauqua,48837,35335,4/20/2021
Chemung,29289,23900,4/20/2021
Chenango,17908,13540,4/20/2021
Clinton,39095,31283,4/20/2021
Columbia,26837,19517,4/20/2021
Cortland,18051,13508,4/20/2021
Delaware,14984,11414,4/20/2021
Dutchess,129440,86609,4/20/2021
Erie,409188,293198,4/20/2021
Essex,17540,14440,4/20/2021
Franklin,20057,16986,4/20/2021
Fulton,16702,12888,4/20/2021
Genesee,21625,15720,4/20/2021
Greene,18959,13359,4/20/2021
Hamilton,2612,2285,4/20/2021
Herkimer,21786,17680,4/20/2021
Jefferson,37380,30450,4/20/2021
Kings,881463,548738,4/20/2021
Lewis,8728,6916,4/20/2021
Livingston,23223,17721,4/20/2021
Madison,31992,25254,4/20/2021
Monroe,334624,249019,4/20/2021
Montgomery,20010,15198,4/20/2021
Nassau,658513,472872,4/20/2021
New York,820818,544988,4/20/2021
Niagara,85309,60390,4/20/2021
Oneida,90851,73585,4/20/2021
Onondaga,217618,162295,4/20/2021
Ontario,52837,40056,4/20/2021
Orange,131301,90752,4/20/2021
Orleans,12404,9260,4/20/2021
Oswego,44145,35148,4/20/2021
Otsego,24800,19666,4/20/2021
Putnam,45832,31655,4/20/2021
Queens,971253,624205,4/20/2021
Rensselaer,69977,50904,4/20/2021
Richmond,185081,130622,4/20/2021
Rockland,124205,87474,4/20/2021
Saratoga,112231,84392,4/20/2021
Schenectady,77788,55892,4/20/2021
Schoharie,11094,8287,4/20/2021
Schuyler,7079,5729,4/20/2021
Seneca,12175,9461,4/20/2021
St. Lawrence,44189,37132,4/20/2021
Steuben,31125,24226,4/20/2021
Suffolk,612116,413629,4/20/2021
Sullivan,26198,19665,4/20/2021
Tioga,14921,11710,4/20/2021
Tompkins,55515,36664,4/20/2021
Ulster,87587,61496,4/20/2021
Warren,30651,25209,4/20/2021
Washington,21343,17257,4/20/2021
Wayne,35873,28460,4/20/2021
Westchester,456692,319457,4/20/2021
Wyoming,13285,9777,4/20/2021
Yates,9316,7576,4/20/2021
