County,FirstDose,SeriesComplete,Reportasof
Schuyler,0,0,12/16/2020
Seneca,1,0,12/16/2020
St. Lawrence,226,0,12/16/2020
Steuben,0,0,12/16/2020
Suffolk,213,1,12/16/2020
Sullivan,3,0,12/16/2020
Tioga,2,0,12/16/2020
Tompkins,2,0,12/16/2020
Ulster,54,0,12/16/2020
Warren,15,0,12/16/2020
Washington,7,0,12/16/2020
Wayne,10,0,12/16/2020
Westchester,586,3,12/16/2020
Wyoming,2,0,12/16/2020
Yates,0,0,12/16/2020
Albany,449,1,12/17/2020
Allegany,21,0,12/17/2020
Bronx,339,2,12/17/2020
Broome,4,0,12/17/2020
Cattaraugus,71,0,12/17/2020
Cayuga,17,0,12/17/2020
Chautauqua,99,0,12/17/2020
Chemung,3,0,12/17/2020
Chenango,0,0,12/17/2020
Clinton,21,0,12/17/2020
Columbia,24,0,12/17/2020
Cortland,2,0,12/17/2020
Delaware,1,0,12/17/2020
Dutchess,220,0,12/17/2020
Erie,723,1,12/17/2020
Essex,9,0,12/17/2020
Franklin,25,0,12/17/2020
Fulton,11,0,12/17/2020
Genesee,7,0,12/17/2020
Greene,14,0,12/17/2020
Hamilton,0,0,12/17/2020
Herkimer,24,0,12/17/2020
Jefferson,5,0,12/17/2020
Kings,1113,6,12/17/2020
Lewis,3,0,12/17/2020
Livingston,22,0,12/17/2020
Madison,32,0,12/17/2020
Monroe,594,1,12/17/2020
Montgomery,12,0,12/17/2020
Nassau,957,2,12/17/2020
New York,2380,5,12/17/2020
Niagara,51,0,12/17/2020
Oneida,157,0,12/17/2020
Onondaga,434,0,12/17/2020
Ontario,33,0,12/17/2020
Orange,213,2,12/17/2020
Orleans,7,0,12/17/2020
Oswego,20,0,12/17/2020
Otsego,1,0,12/17/2020
Putnam,53,1,12/17/2020
Queens,1091,5,12/17/2020
Rensselaer,132,0,12/17/2020
Richmond,407,1,12/17/2020
Rockland,261,2,12/17/2020
Saratoga,197,0,12/17/2020
Schenectady,214,1,12/17/2020
Schoharie,7,0,12/17/2020
Schuyler,0,0,12/17/2020
Seneca,1,0,12/17/2020
St. Lawrence,355,0,12/17/2020
Steuben,1,0,12/17/2020
Suffolk,684,4,12/17/2020
Sullivan,7,0,12/17/2020
Tioga,3,0,12/17/2020
Tompkins,4,0,12/17/2020
Ulster,81,0,12/17/2020
Warren,39,0,12/17/2020
Washington,12,0,12/17/2020
Wayne,17,0,12/17/2020
Westchester,940,5,12/17/2020
Wyoming,10,0,12/17/2020
Yates,1,0,12/17/2020
Albany,687,3,12/18/2020
Allegany,39,0,12/18/2020
Bronx,589,2,12/18/2020
Broome,9,0,12/18/2020
Cattaraugus,144,0,12/18/2020
Cayuga,24,0,12/18/2020
Chautauqua,131,0,12/18/2020
Chemung,4,0,12/18/2020
Chenango,1,0,12/18/2020
Clinton,26,1,12/18/2020
Columbia,46,0,12/18/2020
Cortland,4,0,12/18/2020
Delaware,2,0,12/18/2020
Dutchess,282,0,12/18/2020
Erie,1640,1,12/18/2020
Essex,18,0,12/18/2020
Franklin,56,0,12/18/2020
Fulton,18,0,12/18/2020
Genesee,19,0,12/18/2020
Greene,23,0,12/18/2020
Hamilton,1,0,12/18/2020
Herkimer,41,0,12/18/2020
Jefferson,18,0,12/18/2020
Kings,2066,12,12/18/2020
Lewis,3,0,12/18/2020
Livingston,36,0,12/18/2020
Madison,44,0,12/18/2020
Monroe,1117,1,12/18/2020
Montgomery,18,0,12/18/2020
Nassau,1657,2,12/18/2020
New York,3465,10,12/18/2020
Niagara,137,0,12/18/2020
Oneida,264,0,12/18/2020
Onondaga,711,0,12/18/2020
Ontario,60,0,12/18/2020
Orange,471,4,12/18/2020
Orleans,12,0,12/18/2020
Oswego,31,0,12/18/2020
Otsego,5,0,12/18/2020
Putnam,77,2,12/18/2020
Queens,1746,8,12/18/2020
Rensselaer,187,1,12/18/2020
Richmond,668,1,12/18/2020
Rockland,428,2,12/18/2020
Saratoga,346,0,12/18/2020
Schenectady,271,1,12/18/2020
Schoharie,11,0,12/18/2020
Schuyler,0,0,12/18/2020
Seneca,2,0,12/18/2020
St. Lawrence,415,0,12/18/2020
Steuben,5,0,12/18/2020
Suffolk,1304,7,12/18/2020
Sullivan,25,0,12/18/2020
Tioga,3,0,12/18/2020
Tompkins,5,0,12/18/2020
Ulster,151,1,12/18/2020
Warren,75,0,12/18/2020
Washington,27,0,12/18/2020
Wayne,30,0,12/18/2020
Westchester,1429,6,12/18/2020
Wyoming,14,0,12/18/2020
Yates,4,0,12/18/2020
Albany,767,3,12/19/2020
Allegany,40,0,12/19/2020
Bronx,662,2,12/19/2020
Broome,12,0,12/19/2020
Cattaraugus,145,0,12/19/2020
Cayuga,26,0,12/19/2020
Chautauqua,131,0,12/19/2020
Chemung,5,0,12/19/2020
Chenango,3,0,12/19/2020
Clinton,39,1,12/19/2020
Columbia,79,0,12/19/2020
Cortland,6,0,12/19/2020
Delaware,4,0,12/19/2020
Dutchess,323,0,12/19/2020
Erie,1866,1,12/19/2020
Essex,23,0,12/19/2020
Franklin,93,0,12/19/2020
Fulton,21,0,12/19/2020
Genesee,19,0,12/19/2020
Greene,33,0,12/19/2020
Hamilton,1,0,12/19/2020
Herkimer,54,0,12/19/2020
Jefferson,23,0,12/19/2020
Kings,2863,14,12/19/2020
Lewis,4,0,12/19/2020
Livingston,41,0,12/19/2020
Madison,61,0,12/19/2020
Monroe,1401,2,12/19/2020
Montgomery,31,0,12/19/2020
Nassau,2324,3,12/19/2020
New York,3872,10,12/19/2020
Niagara,207,0,12/19/2020
Oneida,323,0,12/19/2020
Onondaga,833,0,12/19/2020
Ontario,96,0,12/19/2020
Orange,772,4,12/19/2020
Orleans,14,0,12/19/2020
Oswego,35,0,12/19/2020
Otsego,70,0,12/19/2020
Putnam,90,2,12/19/2020
Queens,2050,9,12/19/2020
Rensselaer,208,1,12/19/2020
Richmond,899,2,12/19/2020
Rockland,587,2,12/19/2020
Saratoga,484,1,12/19/2020
Schenectady,299,1,12/19/2020
Schoharie,12,0,12/19/2020
Schuyler,0,0,12/19/2020
Seneca,5,0,12/19/2020
St. Lawrence,510,0,12/19/2020
Steuben,5,0,12/19/2020
Suffolk,1590,9,12/19/2020
Sullivan,44,0,12/19/2020
Tioga,3,0,12/19/2020
Tompkins,5,0,12/19/2020
Ulster,187,1,12/19/2020
Warren,108,0,12/19/2020
Washington,40,0,12/19/2020
Wayne,39,0,12/19/2020
Westchester,1612,6,12/19/2020
Wyoming,15,0,12/19/2020
Yates,5,0,12/19/2020
Albany,791,3,12/20/2020
Allegany,43,0,12/20/2020
Bronx,692,2,12/20/2020
Broome,17,0,12/20/2020
Cattaraugus,159,0,12/20/2020
Cayuga,29,0,12/20/2020
Chautauqua,137,0,12/20/2020
Chemung,5,0,12/20/2020
Chenango,7,0,12/20/2020
Clinton,40,1,12/20/2020
Columbia,81,0,12/20/2020
Cortland,7,0,12/20/2020
Delaware,6,0,12/20/2020
Dutchess,332,0,12/20/2020
Erie,2124,2,12/20/2020
Essex,25,0,12/20/2020
Franklin,129,0,12/20/2020
Fulton,33,0,12/20/2020
Genesee,23,0,12/20/2020
Greene,35,0,12/20/2020
Hamilton,2,0,12/20/2020
Herkimer,74,0,12/20/2020
Jefferson,27,0,12/20/2020
Kings,3182,14,12/20/2020
Lewis,4,0,12/20/2020
Livingston,46,0,12/20/2020
Madison,71,0,12/20/2020
Monroe,1572,2,12/20/2020
Montgomery,60,0,12/20/2020
Nassau,2515,3,12/20/2020
New York,4106,11,12/20/2020
Niagara,227,0,12/20/2020
Oneida,355,0,12/20/2020
Onondaga,907,0,12/20/2020
Ontario,103,0,12/20/2020
Orange,844,5,12/20/2020
Orleans,18,0,12/20/2020
Oswego,41,0,12/20/2020
Otsego,127,0,12/20/2020
Putnam,94,2,12/20/2020
Queens,2186,10,12/20/2020
Rensselaer,219,1,12/20/2020
Richmond,1057,2,12/20/2020
Rockland,602,2,12/20/2020
Saratoga,491,1,12/20/2020
Schenectady,317,1,12/20/2020
Schoharie,18,0,12/20/2020
Schuyler,0,0,12/20/2020
Seneca,5,0,12/20/2020
St. Lawrence,594,0,12/20/2020
Steuben,5,0,12/20/2020
Suffolk,1746,9,12/20/2020
Sullivan,56,0,12/20/2020
Tioga,3,0,12/20/2020
Tompkins,7,0,12/20/2020
Ulster,218,1,12/20/2020
Warren,109,0,12/20/2020
Washington,40,0,12/20/2020
Wayne,48,0,12/20/2020
Westchester,1672,7,12/20/2020
Wyoming,21,0,12/20/2020
Yates,6,0,12/20/2020
Albany,859,3,12/21/2020
Allegany,48,0,12/21/2020
Bronx,897,2,12/21/2020
Broome,23,0,12/21/2020
Cattaraugus,175,0,12/21/2020
Cayuga,62,0,12/21/2020
Chautauqua,163,0,12/21/2020
Chemung,6,0,12/21/2020
Chenango,18,0,12/21/2020
Clinton,94,1,12/21/2020
Columbia,101,0,12/21/2020
Cortland,19,0,12/21/2020
Delaware,7,0,12/21/2020
Dutchess,422,2,12/21/2020
Erie,2923,2,12/21/2020
Essex,36,0,12/21/2020
Franklin,172,0,12/21/2020
Fulton,81,0,12/21/2020
Genesee,30,0,12/21/2020
Greene,46,0,12/21/2020
Hamilton,2,0,12/21/2020
Herkimer,86,0,12/21/2020
Jefferson,31,0,12/21/2020
Kings,3925,15,12/21/2020
Lewis,5,0,12/21/2020
Livingston,54,0,12/21/2020
Madison,120,0,12/21/2020
Monroe,2034,2,12/21/2020
Montgomery,99,0,12/21/2020
Nassau,3037,5,12/21/2020
New York,4808,11,12/21/2020
Niagara,415,0,12/21/2020
Oneida,403,0,12/21/2020
Onondaga,1080,2,12/21/2020
Ontario,126,0,12/21/2020
Orange,931,8,12/21/2020
Orleans,26,0,12/21/2020
Oswego,56,0,12/21/2020
Otsego,161,0,12/21/2020
Putnam,107,3,12/21/2020
Queens,2788,15,12/21/2020
Rensselaer,237,1,12/21/2020
Richmond,1268,4,12/21/2020
Rockland,668,3,12/21/2020
Saratoga,567,2,12/21/2020
Schenectady,362,1,12/21/2020
Schoharie,20,0,12/21/2020
Schuyler,0,0,12/21/2020
Seneca,5,0,12/21/2020
St. Lawrence,643,0,12/21/2020
Steuben,8,0,12/21/2020
Suffolk,2130,10,12/21/2020
Sullivan,71,0,12/21/2020
Tioga,3,0,12/21/2020
Tompkins,17,0,12/21/2020
Ulster,262,1,12/21/2020
Warren,130,0,12/21/2020
Washington,58,0,12/21/2020
Wayne,62,0,12/21/2020
Westchester,1998,9,12/21/2020
Wyoming,29,0,12/21/2020
Yates,6,0,12/21/2020
Albany,1058,3,12/22/2020
Allegany,67,0,12/22/2020
Bronx,1301,3,12/22/2020
Broome,39,0,12/22/2020
Cattaraugus,224,0,12/22/2020
Cayuga,104,0,12/22/2020
Chautauqua,181,0,12/22/2020
Chemung,6,0,12/22/2020
Chenango,37,0,12/22/2020
Clinton,204,1,12/22/2020
Columbia,113,0,12/22/2020
Cortland,119,1,12/22/2020
Delaware,13,0,12/22/2020
Dutchess,559,5,12/22/2020
Erie,3861,4,12/22/2020
Essex,59,0,12/22/2020
Franklin,203,0,12/22/2020
Fulton,90,0,12/22/2020
Genesee,40,0,12/22/2020
Greene,53,0,12/22/2020
Hamilton,2,0,12/22/2020
Herkimer,103,0,12/22/2020
Jefferson,42,0,12/22/2020
Kings,5207,22,12/22/2020
Lewis,10,0,12/22/2020
Livingston,87,0,12/22/2020
Madison,186,0,12/22/2020
Monroe,2668,4,12/22/2020
Montgomery,104,0,12/22/2020
Nassau,4181,5,12/22/2020
New York,6535,17,12/22/2020
Niagara,571,0,12/22/2020
Oneida,525,0,12/22/2020
Onondaga,1441,4,12/22/2020
Ontario,251,0,12/22/2020
Orange,1175,9,12/22/2020
Orleans,35,0,12/22/2020
Oswego,91,0,12/22/2020
Otsego,187,0,12/22/2020
Putnam,137,3,12/22/2020
Queens,3893,16,12/22/2020
Rensselaer,289,1,12/22/2020
Richmond,1765,5,12/22/2020
Rockland,857,3,12/22/2020
Saratoga,697,2,12/22/2020
Schenectady,399,1,12/22/2020
Schoharie,26,0,12/22/2020
Schuyler,1,0,12/22/2020
Seneca,33,0,12/22/2020
St. Lawrence,678,0,12/22/2020
Steuben,78,0,12/22/2020
Suffolk,2950,13,12/22/2020
Sullivan,89,1,12/22/2020
Tioga,5,0,12/22/2020
Tompkins,33,0,12/22/2020
Ulster,309,1,12/22/2020
Warren,155,0,12/22/2020
Washington,79,0,12/22/2020
Wayne,97,0,12/22/2020
Westchester,2651,12,12/22/2020
Wyoming,61,0,12/22/2020
Yates,19,0,12/22/2020
Albany,1994,5,12/23/2020
Allegany,133,0,12/23/2020
Bronx,1991,6,12/23/2020
Broome,83,0,12/23/2020
Cattaraugus,274,0,12/23/2020
Cayuga,133,0,12/23/2020
Chautauqua,313,0,12/23/2020
Chemung,17,0,12/23/2020
Chenango,80,0,12/23/2020
Clinton,275,1,12/23/2020
Columbia,150,0,12/23/2020
Cortland,133,1,12/23/2020
Delaware,112,1,12/23/2020
Dutchess,748,7,12/23/2020
Erie,6089,4,12/23/2020
Essex,86,0,12/23/2020
Franklin,238,0,12/23/2020
Fulton,177,0,12/23/2020
Genesee,56,0,12/23/2020
Greene,82,0,12/23/2020
Hamilton,9,0,12/23/2020
Herkimer,151,0,12/23/2020
Jefferson,114,0,12/23/2020
Kings,6913,26,12/23/2020
Lewis,20,0,12/23/2020
Livingston,150,0,12/23/2020
Madison,278,0,12/23/2020
Monroe,3053,4,12/23/2020
Montgomery,247,0,12/23/2020
Nassau,5819,11,12/23/2020
New York,8962,19,12/23/2020
Niagara,841,1,12/23/2020
Oneida,934,1,12/23/2020
Onondaga,1638,4,12/23/2020
Ontario,462,0,12/23/2020
Orange,1370,10,12/23/2020
Orleans,44,0,12/23/2020
Oswego,112,0,12/23/2020
Otsego,278,0,12/23/2020
Putnam,199,4,12/23/2020
Queens,5634,18,12/23/2020
Rensselaer,545,2,12/23/2020
Richmond,2316,7,12/23/2020
Rockland,1091,3,12/23/2020
Saratoga,1225,3,12/23/2020
Schenectady,672,3,12/23/2020
Schoharie,39,1,12/23/2020
Schuyler,15,0,12/23/2020
Seneca,42,0,12/23/2020
St. Lawrence,827,0,12/23/2020
Steuben,191,0,12/23/2020
Suffolk,3777,13,12/23/2020
Sullivan,104,1,12/23/2020
Tioga,9,0,12/23/2020
Tompkins,48,0,12/23/2020
Ulster,505,2,12/23/2020
Warren,286,0,12/23/2020
Washington,129,0,12/23/2020
Wayne,118,0,12/23/2020
Westchester,3653,17,12/23/2020
Wyoming,70,0,12/23/2020
Yates,82,0,12/23/2020
Albany,2565,6,12/24/2020
Allegany,142,0,12/24/2020
Bronx,2786,9,12/24/2020
Broome,261,0,12/24/2020
Cattaraugus,316,0,12/24/2020
Cayuga,601,0,12/24/2020
Chautauqua,358,1,12/24/2020
Chemung,29,0,12/24/2020
Chenango,114,0,12/24/2020
Clinton,447,1,12/24/2020
Columbia,177,0,12/24/2020
Cortland,248,1,12/24/2020
Delaware,185,1,12/24/2020
Dutchess,1030,8,12/24/2020
Erie,7143,5,12/24/2020
Essex,120,0,12/24/2020
Franklin,393,0,12/24/2020
Fulton,186,0,12/24/2020
Genesee,91,0,12/24/2020
Greene,108,0,12/24/2020
Hamilton,9,0,12/24/2020
Herkimer,205,0,12/24/2020
Jefferson,130,0,12/24/2020
Kings,7935,30,12/24/2020
Lewis,24,0,12/24/2020
Livingston,202,0,12/24/2020
Madison,374,0,12/24/2020
Monroe,3771,6,12/24/2020
Montgomery,268,0,12/24/2020
Nassau,7340,15,12/24/2020
New York,10371,22,12/24/2020
Niagara,949,1,12/24/2020
Oneida,1372,2,12/24/2020
Onondaga,2838,4,12/24/2020
Ontario,644,1,12/24/2020
Orange,1567,10,12/24/2020
Orleans,49,0,12/24/2020
Oswego,329,0,12/24/2020
Otsego,351,1,12/24/2020
Putnam,246,4,12/24/2020
Queens,6898,22,12/24/2020
Rensselaer,835,4,12/24/2020
Richmond,2499,8,12/24/2020
Rockland,1316,5,12/24/2020
Saratoga,1532,3,12/24/2020
Schenectady,998,3,12/24/2020
Schoharie,74,1,12/24/2020
Schuyler,21,0,12/24/2020
Seneca,90,0,12/24/2020
St. Lawrence,1000,1,12/24/2020
Steuben,218,0,12/24/2020
Suffolk,5163,17,12/24/2020
Sullivan,215,2,12/24/2020
Tioga,39,0,12/24/2020
Tompkins,294,0,12/24/2020
Ulster,858,4,12/24/2020
Warren,369,1,12/24/2020
Washington,164,0,12/24/2020
Wayne,175,0,12/24/2020
Westchester,4406,18,12/24/2020
Wyoming,81,0,12/24/2020
Yates,102,0,12/24/2020
Albany,2626,6,12/25/2020
Allegany,156,1,12/25/2020
Bronx,3258,10,12/25/2020
Broome,262,0,12/25/2020
Cattaraugus,353,0,12/25/2020
Cayuga,606,0,12/25/2020
Chautauqua,360,1,12/25/2020
Chemung,29,0,12/25/2020
Chenango,114,0,12/25/2020
Clinton,481,1,12/25/2020
Columbia,178,0,12/25/2020
Cortland,249,1,12/25/2020
Delaware,188,1,12/25/2020
Dutchess,1047,8,12/25/2020
Erie,7151,5,12/25/2020
Essex,124,0,12/25/2020
Franklin,394,0,12/25/2020
Fulton,186,0,12/25/2020
Genesee,94,0,12/25/2020
Greene,108,0,12/25/2020
Hamilton,10,0,12/25/2020
Herkimer,205,0,12/25/2020
Jefferson,130,0,12/25/2020
Kings,8352,30,12/25/2020
Lewis,24,0,12/25/2020
Livingston,211,0,12/25/2020
Madison,381,0,12/25/2020
Monroe,4045,6,12/25/2020
Montgomery,269,0,12/25/2020
Nassau,8063,18,12/25/2020
New York,10532,23,12/25/2020
Niagara,951,1,12/25/2020
Oneida,1373,2,12/25/2020
Onondaga,2890,4,12/25/2020
Ontario,656,1,12/25/2020
Orange,1588,11,12/25/2020
Orleans,51,0,12/25/2020
Oswego,332,0,12/25/2020
Otsego,352,1,12/25/2020
Putnam,253,4,12/25/2020
Queens,7427,25,12/25/2020
Rensselaer,846,4,12/25/2020
Richmond,2538,8,12/25/2020
Rockland,1340,5,12/25/2020
Saratoga,1555,3,12/25/2020
Schenectady,1013,3,12/25/2020
Schoharie,75,1,12/25/2020
Schuyler,21,0,12/25/2020
Seneca,90,0,12/25/2020
St. Lawrence,1000,1,12/25/2020
Steuben,218,0,12/25/2020
Suffolk,5577,19,12/25/2020
Sullivan,248,2,12/25/2020
Tioga,39,0,12/25/2020
Tompkins,294,0,12/25/2020
Ulster,866,4,12/25/2020
Warren,416,1,12/25/2020
Washington,194,0,12/25/2020
Wayne,178,0,12/25/2020
Westchester,4600,18,12/25/2020
Wyoming,82,0,12/25/2020
Yates,102,0,12/25/2020
Albany,2795,6,12/26/2020
Allegany,157,1,12/26/2020
Bronx,3483,11,12/26/2020
Broome,368,1,12/26/2020
Cattaraugus,353,0,12/26/2020
Cayuga,609,0,12/26/2020
Chautauqua,362,1,12/26/2020
Chemung,29,0,12/26/2020
Chenango,126,0,12/26/2020
Clinton,486,1,12/26/2020
Columbia,182,0,12/26/2020
Cortland,251,1,12/26/2020
Delaware,192,1,12/26/2020
Dutchess,1091,8,12/26/2020
Erie,7293,5,12/26/2020
Essex,138,0,12/26/2020
Franklin,452,0,12/26/2020
Fulton,191,0,12/26/2020
Genesee,112,0,12/26/2020
Greene,118,0,12/26/2020
Hamilton,10,0,12/26/2020
Herkimer,213,0,12/26/2020
Jefferson,136,0,12/26/2020
Kings,8737,31,12/26/2020
Lewis,24,0,12/26/2020
Livingston,250,0,12/26/2020
Madison,483,0,12/26/2020
Monroe,4701,7,12/26/2020
Montgomery,274,0,12/26/2020
Nassau,8439,20,12/26/2020
New York,11426,29,12/26/2020
Niagara,967,1,12/26/2020
Oneida,1442,2,12/26/2020
Onondaga,2999,4,12/26/2020
Ontario,688,1,12/26/2020
Orange,1620,11,12/26/2020
Orleans,74,0,12/26/2020
Oswego,339,0,12/26/2020
Otsego,354,1,12/26/2020
Putnam,263,4,12/26/2020
Queens,7896,31,12/26/2020
Rensselaer,943,4,12/26/2020
Richmond,2609,8,12/26/2020
Rockland,1390,5,12/26/2020
Saratoga,1671,3,12/26/2020
Schenectady,1059,3,12/26/2020
Schoharie,78,1,12/26/2020
Schuyler,22,0,12/26/2020
Seneca,92,0,12/26/2020
St. Lawrence,1205,1,12/26/2020
Steuben,249,0,12/26/2020
Suffolk,5898,19,12/26/2020
Sullivan,248,2,12/26/2020
Tioga,41,0,12/26/2020
Tompkins,300,0,12/26/2020
Ulster,889,4,12/26/2020
Warren,428,1,12/26/2020
Washington,200,0,12/26/2020
Wayne,198,0,12/26/2020
Westchester,4901,22,12/26/2020
Wyoming,84,0,12/26/2020
Yates,106,0,12/26/2020
Albany,3060,6,12/27/2020
Allegany,160,1,12/27/2020
Bronx,3679,11,12/27/2020
Broome,370,1,12/27/2020
Cattaraugus,378,0,12/27/2020
Cayuga,613,0,12/27/2020
Chautauqua,364,1,12/27/2020
Chemung,29,0,12/27/2020
Chenango,126,0,12/27/2020
Clinton,666,1,12/27/2020
Columbia,190,0,12/27/2020
Cortland,252,1,12/27/2020
Delaware,193,1,12/27/2020
Dutchess,1107,8,12/27/2020
Erie,7442,5,12/27/2020
Essex,219,0,12/27/2020
Franklin,585,1,12/27/2020
Fulton,207,0,12/27/2020
Genesee,122,0,12/27/2020
Greene,125,0,12/27/2020
Hamilton,12,0,12/27/2020
Herkimer,215,0,12/27/2020
Jefferson,141,0,12/27/2020
Kings,9358,33,12/27/2020
Lewis,69,0,12/27/2020
Livingston,261,0,12/27/2020
Madison,490,0,12/27/2020
Monroe,5141,7,12/27/2020
Montgomery,280,0,12/27/2020
Nassau,8772,21,12/27/2020
New York,12131,30,12/27/2020
Niagara,1162,1,12/27/2020
Oneida,1467,2,12/27/2020
Onondaga,3089,4,12/27/2020
Ontario,724,1,12/27/2020
Orange,1646,12,12/27/2020
Orleans,80,0,12/27/2020
Oswego,348,1,12/27/2020
Otsego,354,1,12/27/2020
Putnam,273,4,12/27/2020
Queens,8468,36,12/27/2020
Rensselaer,1078,6,12/27/2020
Richmond,2732,9,12/27/2020
Rockland,1447,6,12/27/2020
Saratoga,1837,4,12/27/2020
Schenectady,1222,4,12/27/2020
Schoharie,81,1,12/27/2020
Schuyler,22,0,12/27/2020
